id	en1	jp1	en2	jp2
7982	seaweed	海藻	He likes to collect seaweed.	彼は海藻を集めるのが好きだ。
7983	purity	純粋さ、清らかさ	She has a purity of heart.	彼女は心の純粋さを持っている。
7984	habitual	習慣的な、いつもの	He has a habitual coffee-drinking habit.	彼はいつもコーヒーを飲むのが習慣です。
7985	lasting	永続的な、長持ちする	Friendship should be lasting.	友情は長持ちするものでしょう。
7986	manly	男らしい、男の	He had a manly attitude.	彼は男らしい態度をしていた。
7987	salute	敬礼する、あいさつする	He saluted the officer.	彼は将校に敬礼した。
7988	lodging	宿泊施設、宿	She found good lodging.	彼女は良い宿泊施設を見つけた。
7989	vitality	活力、元気	He is full of vitality.	彼は活力に満ち溢れている。
7990	lieutenant	中尉、副官	He is a lieutenant in the army.	彼は軍の中尉だ。
7991	weird	奇妙な、変な	He had a weird behavior.	彼は奇妙な行動をした。
7992	crude	粗末な、未加工の	This is crude oil.	これは粗末な原油です。
7993	halve	半分にする、半減する	She halved the apple.	彼女はリンゴを半分にした。
7994	diligence	勤勉、努力	He succeeded through diligence.	彼は勤勉さで成功した。
7995	concession	譲歩、利権	They won concessions in the deal.	彼らは取引で譲歩を勝ち取った。
7996	subsidy	補助金、助成金	The government provides subsidies to farmers.	政府は農家に補助金を出している。
7997	subsidiary	子会社、補助的な	It's a subsidiary of the parent company.	それは親会社の子会社です。
7998	botanical	植物の、植物学的な	She went to the botanical garden.	彼女は植物園に行った。
7999	domain	領域、領土	This is my domain of expertise.	これは私の専門領域です。
8000	embark	乗り出す、始める	We embarked on a new project.	私たちは新しいプロジェクトに乗り出した。
8001	queer	奇妙な、風変わりな	He is a bit of a queer person.	彼は少し風変わりな人だ。
8002	oppress	圧迫する、抑圧する	The dictator oppressed the people.	独裁者は人々を抑圧した。
8003	aide	補佐官、助手	He is an aide to the president.	彼は大統領の補佐官です。
8004	conspiracy	陰謀、共謀	They plotted a conspiracy.	彼らは陰謀を企てた。
8005	disarmament	軍縮、武装解除	They advocated for disarmament.	彼らは軍縮を提唱した。
8006	functional	機能的な、実用的な	This is a functional design.	これは機能的なデザインです。
8007	civic	市民の、公民の	He is keen on civic activities.	彼は市民活動に熱心です。
8008	subtract	引く、差し引く	Please subtract 2 from 5.	5から2を引いてください。
8009	harmonious	調和の取れた、仲の良い	They were a harmonious family.	彼らは調和の取れた家族だった。
8010	giggle	くすくす笑う、忍び笑い	She giggled.	彼女はくすくす笑った。
8011	humid	湿った、湿気のある	It is very humid today.	今日はとても蒸し暑い。
8012	saloon	酒場、サロン	He went into the saloon.	彼は酒場に入った。
8013	dictate	命令する、決定する	They dictated the terms.	彼らは条件を押し付けた。
8014	execution	実行、処刑	The execution of the plan went well.	計画の実行はうまく行われた。
8015	textile	織物、繊維	He works in a textile factory.	彼は織物工場で働いている。
8016	geographical	地理的な、地理学的な	The geographical features are diverse.	地理的な特徴は多様です。
8017	furious	激怒した、猛烈な	He was furious.	彼は激怒した。
8018	dusk	夕暮れ、薄明かり	We went for a walk at dusk.	私たちは夕暮れ時に散歩した。
8019	monarchy	君主制、王政	That country is a monarchy.	その国は君主制である。
8020	tribute	賛辞、貢物	She paid tribute to the singer.	彼女は歌手に賛辞を捧げた。
8021	tidal	潮の、潮汐の	This is a region with strong tidal changes.	ここは潮の満ち引きの強い地域です。
8022	set A apart	Aを際立たせる、Aを区別する	His talent set him apart from the other students.	その才能は彼を他の生徒たちとは際立たせていた。
8023	prodigal	浪費する、放蕩な	He was prodigal with the fortune he had inherited from his parents.	彼は親から受け継いだ財産を浪費した。
8024	make do with	～で間に合わせる、～で我慢する	We can't buy a new one, so we'll have to make do with the old one.	新しいものが買えないので、古いのを間に合わせるしかない。
8025	wad	（紙幣などの）束、詰め物	He took a wad of bills out of his pocket.	彼はポケットから紙幣の束を取り出した。
8026	fraught	（危険や困難が）満ちている、伴う	The journey was fraught with danger and difficulties.	その旅は危険と困難に満ちていた。
8027	do A harm	Aに害を及ぼす	Exercising too much can do harm to your body.	過度に運動することは体に害を及ぼす可能性があります。
8028	somber	陰気な、憂鬱な	The weather was somber, and his mood was also down.	天気は陰気で、彼の気分も落ち込んでいた。
8029	flabby	たるんだ、しまりのない	His arms are flabby from lack of exercise.	彼は運動不足で腕がたるんでいる。
8030	quarrel with	～と口論する、～に不満を言う	She is always quarreling with her younger brother.	彼女はいつも自分の弟と口論している。
8031	scruple	良心の呵責、ためらい	He told a lie without a scruple.	彼は良心の呵責なしに嘘をついた。
8032	pensive	物思いに沈んだ、考え込んでいる	She was pensive, looking out the window.	彼女は窓の外を見つめながら物思いにふけっていた。
8033	primordial	原始の、太古の	The cave is famous for its primordial wall paintings.	その洞窟は原始時代の壁画で有名です。
8034	spurious	偽の、見せかけの	The document turned out to be spurious.	その書類は偽物であることが判明した。
8035	immaterial	重要でない、無関係な	Whether it's true or not is immaterial here.	それが真実かどうかはここでは重要ではない。
8036	sediment	沈殿物、堆積物	There was a sediment of mud and sand at the bottom of the river.	川底には泥や砂などの沈殿物が溜まっていた。
8037	bottom out	底を打つ、最低に達する	The stock price seems to have bottomed out at last.	株価はついに底を打ったようだ。
8038	cast away	～を投げ捨てる、～を漂流させる	He cast away his painful memories of the past.	彼は過去の辛い記憶を投げ捨てた。
8039	ancillary	補助的な、付随的な	The factory also has staff engaged in ancillary duties.	その工場では補助的な業務に従事するスタッフもいます。
8040	feeble	弱々しい、か弱い	The old man was feeble and found it difficult to walk.	その老人は体が弱っていて歩くのも困難だった。
8041	sonic	音速の、音波の	That airplane flies at sonic speed.	その飛行機は音速で飛行します。
8042	stenographer	速記者	A stenographer was taking notes at the meeting.	会議では速記者が記録をとっていた。
8043	put up at	～に泊まる	They decided to put up at that hotel.	彼らはそのホテルに泊まることにした。
8044	hoarse	声がかすれた	My voice is hoarse from a cold.	風邪で声がかすれている。
8045	a bunch of	たくさんの、一団の	She read a bunch of books.	彼女はたくさんの本を読んだ。
8046	for real	本当に、本気で	He wants to be a professional musician for real.	彼は本当にプロのミュージシャンになりたいと思っている。
8047	wipe out	～を全滅させる、～を消し去る	The flood wiped out the town.	その洪水は街を全滅させた。
8048	drink to	～に乾杯する	We drank to the success.	私たちは成功を祈って乾杯した。
8049	garish	けばけばしい、派手すぎる	She was wearing clothes of garish colors.	彼女はけばけばしい色の服を着ていた。
8050	reciprocal	相互の、互恵的な	There was reciprocal respect between them.	彼らの間には相互の尊敬があった。
8051	languid	だるい、気だるい	The heat made her feel languid.	暑さのせいで、彼女はだるそうにしていた。
8052	despotic	専制的な、独裁的な	He was a despotic ruler.	彼は専制的な支配者だった。
8053	come away	（～な印象をもって）去る、（～を）持ち帰る	After the meeting, he came away feeling disappointed.	会議の後、彼は落胆して帰ってきた。
8054	nonchalant	無頓着な、平然とした	She was nonchalant about the results of the exam.	彼女は試験の結果を気にせず平然としていた。
8055	bashful	内気な、恥ずかしがり屋の	He was bashful about speaking in public.	彼は人前で話すのを恥ずかしがっていた。
8056	brusque	ぶっきらぼうな、無愛想な	His reply was brusque.	彼の答え方はぶっきらぼうだった。
8057	spit it out	（ためらわずに）はっきり言う、口に出す	If you have something to say, just spit it out.	言いたいことがあるなら、はっきり言いなさい。
8058	serum	血清	He was given serum after being bitten by a snake.	蛇に噛まれたので血清を投与された。
8059	veterinarian	獣医	She works as a veterinarian.	彼女は獣医として働いている。
8060	sluice	水門、洗い場	The sluice was opened for irrigation.	灌漑のために水門が開かれた。
8061	take the plunge	思い切ってやってみる、決断する	He took the plunge and started a new business.	彼は思い切って新しい事業を始めた。
8062	uterus	子宮	When you are pregnant, your uterus gets bigger.	妊娠すると、子宮が大きくなる。
8063	slovenly	だらしない、ずぼらな	He is always slovenly dressed.	彼はいつもだらしない格好をしている。
8064	make an end of	～を終わらせる、～を終結させる	We decided to make an end of the project.	私たちはそのプロジェクトを終わらせることにした。
8065	omnipotent	全能の、万能の	God is believed to be omnipotent.	神は全能であると信じられている。
8066	smallpox	天然痘	Smallpox used to be a terrible disease.	天然痘はかつて恐ろしい病気だった。
8067	close call	間一髪のところ、危機一髪	It was a close call.	それは間一髪の出来事だった。
8068	synopsis	概要、要約	Please give me a synopsis of the story.	物語の概要を教えてください。
8069	turnpike	有料道路	This road is a turnpike.	この道路は有料道路です。
8070	litigant	訴訟当事者、原告または被告	The litigants must appear in court.	訴訟当事者は裁判に出廷する必要がある。
8071	tandem	縦に並んで、二人乗りで	They rode on a bicycle in tandem.	彼らは二人乗りで自転車に乗って走った。
8072	vapor	蒸気、気体	Vapor rose from the hot tea.	熱いお茶から蒸気が立ち上っていた。
8073	fingerprint	指紋	The police took the fingerprints of the suspect.	警察は犯人の指紋を採取した。
8074	smog	スモッグ	Smog is a serious problem in large cities.	大都市ではスモッグが深刻な問題だ。
8075	reconcile	和解させる、調和させる	They tried to reconcile their differences.	彼らは意見の相違を和解させようとした。
8076	crust	（パンなどの）皮、地殻	The crust of the bread was crispy.	パンの皮はカリカリしていた。
8077	dazzle	目をくらませる、魅了する	He was dazzled by her beauty.	彼女の美しさに彼は目をくらまされた。
8078	supernatural	超自然的な	This story contains supernatural elements.	この物語には超自然的な要素が含まれている。
8079	expend	（お金、時間、エネルギーなどを）費やす、消費する	We expended a lot of time and energy on that project.	私たちはそのプロジェクトに多くの時間とエネルギーを費やした。
8080	pronoun	代名詞	"He" is a male pronoun.	「彼」は男性の代名詞です。
8081	respectively	それぞれ、おのおの	They are 10 and 12 years old, respectively.	彼らはそれぞれ10歳と12歳です。
8082	presume	推定する、仮定する	He presumed that I would agree.	彼は私が同意すると推定した。
8083	bestow	授ける、与える	The queen bestowed a medal upon him.	女王は彼に勲章を授けた。
8084	wreck	難破させる、破壊する、残骸	The storm wrecked the ship.	嵐が船を難破させた。
8085	disciple	弟子、信奉者	He was one of the philosopher's disciples.	彼はその哲学者の弟子の一人だった。
8086	timber	木材、材木	This house is built with timber.	この家は木材で建てられている。
8087	haul	（重い物を）運ぶ、引っ張る	They hauled the heavy load in a truck.	彼らは重い荷物をトラックで運んだ。
8088	frightful	恐ろしい、ひどい	The accident was a frightful sight.	その事故は恐ろしい光景だった。
8089	disgusted	むかついた、うんざりした	She was disgusted by his rude behavior.	彼女はその無礼な態度にむかついた。
8090	ranch	牧場	They own a large ranch.	彼らは大きな牧場を所有している。
8091	appetizer	前菜	We ordered soup as an appetizer.	前菜としてスープを注文しました。
8092	eminent	著名な、卓越した	He is an eminent expert in his field.	彼はその分野で著名な専門家です。
8093	exert	（力、影響などを）及ぼす、行使する	He exerted all his efforts to make the project successful.	彼はそのプロジェクトを成功させるために全力を尽くした。
8094	discouragement	落胆、失望	He felt discouragement at the failure.	彼はその失敗に落胆した。
8095	folklore	民俗、民間伝承	This area has a lot of interesting folklore.	この地域には多くの興味深い民俗伝承がある。
8096	riot	暴動	A riot broke out in the city.	街で暴動が発生した。
8097	glacier	氷河	The glacier slowly moved down the mountain.	氷河はゆっくりと山を下っていった。
8098	concede	（事実を）認める、（敗北を）認める	He conceded defeat.	彼は敗北を認めた。
8099	outgoing	社交的な、外向的な	She has a very outgoing personality.	彼女はとても社交的な性格です。
8100	wreath	花輪、リース	They laid a wreath for the victims.	彼らは犠牲者に花輪を捧げた。
8101	strand	より糸、座礁させる、取り残す	They were stranded on the beach.	彼らは海岸に取り残された。
8102	insane	狂気の、正気でない	His behavior seems insane.	彼の行動は正気とは思えない。
8103	outrage	激怒、憤慨	The news caused an outrage among the people.	そのニュースは人々の激怒を引き起こした。
8104	souvenir	お土産、記念品	I bought a souvenir to remember my trip.	旅行の記念にお土産を買った。
8105	incentive	動機、刺激	He has enough incentive to work hard.	彼には頑張るための十分な動機がある。
8106	imprisonment	投獄、監禁	He was sent to imprisonment for theft.	彼は窃盗で投獄された。
8107	oath	誓い、宣誓	He took an oath to tell the truth.	彼は正直に話すことを誓った。
8108	applicable	該当する、当てはまる	This rule is applicable to everyone.	この規則はすべての人に適用されます。
8109	discard	捨てる、放棄する	I discarded the broken toy.	壊れたおもちゃを捨てた。
8110	dictation	書き取り、口述	The teacher gave us dictation practice.	先生が書き取りの練習をさせた。
8111	theoretical	理論的な、理論上の	This is a theoretical problem.	これは理論上の問題です。
8112	abbreviation	略語	"Etc." is an abbreviation for "etcetera."	「etc.」は「etcetera」の略語です。
8113	menace	脅威、脅かすもの	The dog felt like a menace.	その犬は脅威に感じた。
8114	bait	餌、誘惑するもの	The fisherman used bait to catch the fish.	釣り人は魚を釣るために餌を使った。
8115	complement	補完するもの、引き立てるもの	The wine complemented the meal.	そのワインは食事を補完した。
8116	constitutional	憲法の、体質の	This is a constitutional issue.	これは憲法上の問題です。
8117	algebra	代数学	He is studying algebra at school.	彼は学校で代数学を学んでいる。
8118	citizenship	市民権、国籍	He applied for American citizenship.	彼はアメリカの市民権を申請した。
8119	confer	授与する、協議する	The university conferred an honorary degree on him.	大学は彼に名誉学位を授与した。
8120	splendor	壮大さ、華麗さ	The palace impressed people with its splendor.	その宮殿は壮大さで人々を魅了した。
8121	drizzle	霧雨、小雨	A drizzle began to fall from the sky.	空から霧雨が降ってきた。
8122	vandalism	破壊行為、落書き	The park was damaged by vandalism.	その公園は破壊行為によって損なわれていた。
8123	retarded	発達が遅れた、遅れている	He was diagnosed as being mentally retarded.	彼は発達が遅れていると診断された。
8124	abrupt	突然の、ぶっきらぼうな	The meeting ended abruptly.	会議は突然終わった。
8125	arcane	難解な、秘密の	The book was written in arcane language.	その本は難解な言葉で書かれていた。
8126	neural	神経の、神経系の	The brain has a complex neural network.	脳は複雑な神経ネットワークを持っている。
8127	vile	卑劣な、不道徳な	His behavior was very vile.	彼の行動はとても卑劣だった。
8128	translucent	半透明の	The curtain is translucent and lets light through.	そのカーテンは半透明で、光を通す。
8129	degenerate	堕落する、悪化する	The society was degenerating.	その社会は堕落しつつあった。
8130	obliterate	消す、抹消する	You cannot obliterate the mistakes of the past.	過去の過ちを抹消することはできない。
8131	falter	ためらう、よろめく	He faltered before answering.	彼は答えるのをためらった。
8132	in excess	過剰に、～を超えて	He drank alcohol in excess.	彼はアルコールを過剰に摂取した。
8133	brazen	厚かましい、ずうずうしい	She brazenly lied to his face.	彼女は彼の顔を見てずうずうしく嘘をついた。
8134	fluffy	ふわふわした	The cat has fluffy fur.	その猫はふわふわの毛を持っている。
8135	faded	色あせた、しおれた	The photograph was faded.	その写真は色あせていた。
8136	civil rights	公民権、市民権	People fought for their civil rights.	人々は公民権のために戦った。
8137	inundate	殺到させる、水浸しにする	We were inundated with complaint emails.	私たちは苦情メールの洪水に見舞われた。
8138	meander	曲がりくねって進む、ぶらぶら歩く	The river meanders across the plain.	川は平野を曲がりくねって流れている。
8139	paid vacation	有給休暇	I am going to take a paid vacation next week.	私は来週有給休暇を取る予定です。
8140	luxurious	豪華な、ぜいたくな	They stayed in a luxurious hotel.	彼らは豪華なホテルに滞在した。
8141	putative	推定上の、自称の	The author of the painting is putative.	その絵の作者は推定上のものだ。
8142	sanguine	楽観的な、自信のある	He is always sanguine about the future.	彼は常に将来について楽観的だ。
8143	entrench	確立する、定着させる	The habit is deeply entrenched in society.	その習慣は社会に深く定着している。
8144	deride	あざける、嘲笑する	He derided her.	彼は彼女をあざけった。
8145	sort out	整理する、解決する	We need to sort out this problem.	私たちはこの問題を解決する必要がある。
8146	volatility	変動性、不安定さ	The market showed great volatility.	市場は大きな変動性を示した。
8147	flinch	ひるむ、たじろぐ	He didn't flinch at the harsh words.	彼は厳しい言葉にもひるまなかった。
8148	vindication	立証、弁明	He finally achieved vindication.	彼はついに潔白を立証した。
8149	medical checkup	健康診断、身体検査	I get a regular medical checkup.	私は定期的に健康診断を受けています。
8150	diabetic	糖尿病の、糖尿病患者	He was diagnosed as diabetic.	彼は糖尿病と診断された。
8151	incendiary	扇動的な、発火性の	His speech was incendiary.	彼のスピーチは扇動的だった。
8152	be likely to	～しそうである、～する可能性がある	It is likely to rain.	雨が降りそうだ。
8153	town twinning	姉妹都市提携	Their city has a town twinning agreement with a city overseas.	彼らの市は海外の市と姉妹都市提携を結んでいる。
8154	vernacular	地方の言葉、日常語	The vernacular of that region is unique.	その地方の方言は独特だ。
8155	adjacent	隣接した、近接した	Their houses are adjacent.	彼らの家は隣接している。
8156	nominal	名ばかりの、ほんのわずかの	He is the nominal leader.	彼は名ばかりのリーダーだ。
8157	opaque	不透明な、不明瞭な	The glass was opaque.	そのガラスは不透明だった。
8158	scrupulous	良心的な、几帳面な	He is very scrupulous in his work.	彼は仕事に非常に几帳面だ。
8159	nourish	栄養を与える、養う	Food nourishes the body.	食べ物は体を養う。
8160	crappy	ひどい、粗悪な	This car is in crappy condition.	この車はひどい状態だ。
8161	drench	びしょ濡れにする、浸す	I was drenched by the rain.	私は雨でびしょ濡れになった。
8162	overstate	誇張する、大げさに言う	He overstated his success.	彼は自分の成功を誇張した。
8163	narrow down A to B	AをBに絞り込む	I narrowed down the options to three.	選択肢を３つに絞り込んだ。
8164	insidious	陰険な、巧妙な	The disease progressed insidiously.	その病気は陰険に進行した。
8165	lush	緑豊かな、青々とした	The garden was lush.	その庭は緑豊かだった。
8166	send out for	～を注文する、出前を頼む	We sent out for pizza.	私たちはピザを注文した。
8167	grow out of	～から脱却する、～を卒業する	He grew out of the bad habit.	彼はその悪い習慣から脱却した。
8168	devoid	～を欠いている、～がない	The room was devoid of furniture.	その部屋は家具が何もなかった。
8169	condone	大目に見る、容認する	We cannot condone acts of violence.	私たちは暴力行為を容認することはできない。
8170	billow	（煙、波などが）大きくうねる、湧き上がる	The smoke billowed from the building.	煙が建物から大きく立ち上っていた。
8171	revere	尊敬する、崇拝する	He revered the great teacher.	彼はその偉大な教師を尊敬していました。
8172	citadel	城塞、要塞	The city was protected by a citadel on the hill.	その都市は丘の上の城塞によって守られていました。
8173	carry over	（繰り越す、持ち越す）	The work was carried over to next week.	その仕事は来週まで持ち越されました。
8174	hearsay	うわさ、伝聞	It's just hearsay, and it might not be true.	それはただのうわさ話で、真実ではないかもしれません。
8175	repudiate	拒否する、否認する	He repudiated the offer outright.	彼はその申し出を断固として拒否しました。
8176	remission	（病気の）寛解、軽減	Her cancer has gone into remission.	彼女の癌は寛解状態に入りました。
8177	hedonism	快楽主義	He leads a life of hedonism.	彼は快楽主義的な生活を送っています。
8178	under cover	秘密の、隠れて	They were working on the plan under cover.	彼らは秘密裏にその計画を進めていました。
8179	least of all	とりわけ～でない、特に～でない	He doesn't like noisy places, least of all.	彼は誰よりもまして、騒がしい場所が好きではありません。
8180	cot	簡易ベッド、ベビーベッド	The baby was sleeping in the cot.	赤ちゃんはベビーベッドで眠っていた。
8181	denunciation	非難、弾劾	His speech was a fierce denunciation of the government.	彼の演説は政府に対する激しい非難だった。
8182	ascribe A to B	AをBのせいにする、AはBに起因すると考える	The failure is ascribed to his carelessness.	その失敗は彼の不注意のせいだと考えられています。
8183	make allowance for	～を考慮に入れる、～を斟酌する	We need to make allowance for traffic jams before leaving.	交通渋滞を考慮に入れて出発する必要がある。
8184	plaid	格子縞の	He was wearing a plaid shirt.	彼は格子縞のシャツを着ていた。
8185	hold still	じっとしている	Hold still, I want to take a picture.	写真を撮るから、じっとしていてください。
8186	apex	頂点、最高点	He reached the apex of his career.	彼はキャリアの頂点に達した。
8187	barley	大麦	This beer is made from barley.	このビールは大麦から作られています。
8188	claustrophobia	閉所恐怖症	He can't ride elevators because he has claustrophobia.	彼は閉所恐怖症なので、エレベーターに乗れません。
8189	out of order	故障中の、調子が悪い	The machine is out of order.	その機械は故障中です。
8190	confederation	連邦、連合	The country is a confederation of several states.	その国はいくつかの州の連邦です。
8191	and the like	～など、～といったもの	We bought bread, cakes, and the like.	私たちはパン、ケーキ、そしてパン菓子などを買いました。
8192	ledger	（会社の）帳簿、元帳	The accountant records all transactions in the ledger.	経理担当者は元帳にすべての取引を記録します。
8193	weed out	（不要なものを）取り除く、選別する	We need to weed out the unsuitable applicants.	応募者の中からふさわしい人を絞り込む必要があります。
8194	municipality	自治体、市町村	He is an official of the municipality.	彼はその自治体の職員です。
8195	cancel	取り消す、キャンセルする	The meeting was canceled.	会議は取り消されました。
8196	relax	リラックスする	I want to relax on my days off.	休日はリラックスして過ごしたい。
8197	stew	煮込む、煮込み料理	We stewed the vegetables to make a stew.	私たちは野菜を煮込んでシチューを作った。
8198	palliate 	（病気などを）一時的に和らげる、緩和する	She took medicine to palliate the pain.	彼女は痛みを和らげるために薬を飲んだ。
8199	yelp 	キャンキャン吠える、甲高い叫び声をあげる	The puppy suddenly started to yelp.	子犬が突然キャンキャン吠え始めた。
8200	bluster 	（風などが）荒れ狂う、（人が）大口をたたく、虚勢を張る	He blustered and shouted, but no one took him seriously.	彼は怒鳴り散らし、虚勢を張ったが、誰も彼を真剣に受け止めなかった。
8201	effulgent 	光り輝く、まばゆい	The effulgent light of the sunrise illuminated the sea.	日の出のまばゆい光が海を照らした。
8202	macabre 	気味悪い、ぞっとする、死を連想させる	The movie was macabre and had many gruesome scenes.	その映画は不気味で、ぞっとする場面がたくさんあった。
8203	obsequious 	追従的な、卑屈な	He was obsequious to his boss and always agreed with him.	彼は上司に追従的で、いつも彼に同意していた。
8204	x marks the spot 	×印の場所が目印、まさにそこ	The map had an "x marks the spot" where the treasure was buried.	地図には、宝が埋まっている場所に×印がついていた。
8205	wan 	青白い、弱々しい、元気がない	After her illness, her face looked wan and she seemed weak.	病気の後、彼女の顔色は青白く、元気がないように見えた。
8206	hit the hay 	寝る、床につく	I was tired, so I decided to hit the hay early.	疲れたので、早く寝ることにした。
8207	abysmal 	深淵な、底知れない、ひどい	The results of the exam were abysmal.	試験の結果はひどいものだった。
8208	jejune 	幼稚な、未熟な、つまらない	His ideas were jejune and had no substance.	彼の考えは幼稚で、実質がなかった。
8209	keep at bay 	近づけない、寄せ付けない	He built a fence to keep the dog at bay.	彼は犬を寄せ付けないように柵を作った。
8210	rapacious 	貪欲な、強欲な	The company was criticized for being rapacious in its pursuit of profit.	その会社は利益を追求するため、貪欲だと批判された。
8211	get a kick out of something 	～を面白がる、～に喜びを感じる	He gets a kick out of playing new games.	彼は新しいゲームをプレイするのを面白がっている。
8212	abscond 	（人や場所から）姿をくらます、逃亡する	He absconded with the company's money.	彼は会社の金を盗んで逃亡した。
8213	bereft 	奪われた、失った、悲しみに暮れた	She was bereft after losing her husband.	彼女は夫を亡くし、悲しみに暮れていた。
8214	decadent 	退廃的な、堕落した	The noble's life was decadent and full of extravagance.	その貴族の生活は退廃的で、贅沢三昧だった。
8215	feckless 	無責任な、役に立たない	He is feckless and always breaks his promises.	彼は無責任で、いつも約束を破る。
8216	grotesque 	グロテスクな、奇妙な、不気味な	The painting was grotesque and made people feel uneasy.	その絵はグロテスクで、見る人を不安にさせた。
8217	recumbent 	横たわっている、寄りかかっている	He was recumbent on the grass, reading a book.	彼は芝生に横たわって本を読んでいた。
8218	give in to 	～に屈する、～に負ける	He gave in to the pressure.	彼はプレッシャーに屈してしまった。
8219	mull over 	～を熟考する、～をじっくり考える	She mulled over the problem in order to find a solution.	彼女は問題を解決するために、その問題を熟考した。
8220	xenolith 	捕獲岩、異質岩	The geologist found a xenolith inside the igneous rock.	地質学者は火成岩の中に捕獲岩を見つけた。
8221	hermetic 	密閉された、密封された	The container was hermetic, preventing air from entering.	容器は密閉され、空気が入らないようになっていた。
8222	voracious 	貪欲な、食欲旺盛な	He has a voracious appetite and always eats a lot.	彼は食欲旺盛で、いつもたくさん食べる。
8223	sniff out 	～を嗅ぎつける、～を見つけ出す	The journalist sniffed out the suspicion of corruption.	ジャーナリストは汚職の疑いを嗅ぎつけた。
8224	holistic 	全体的な、総合的な	He advocated a holistic approach to the problem.	彼は問題に対する全体的なアプローチを提唱した。
8225	in the nick of time 	間一髪で、ぎりぎりのところで	He caught the train in the nick of time.	彼は間一髪で電車に間に合った。
8226	tangible 	触れることができる、明白な、具体的な	His success is tangible in the form of concrete results.	彼の成功は具体的な成果として現れている。
8227	cunning 	ずる賢い、悪賢い	He is cunning and always tries to deceive people.	彼はずる賢く、いつも人を騙そうとする。
8228	adulation 	熱烈な崇拝、お世辞	He enjoyed the adulation from the audience.	彼は聴衆からの熱烈な崇拝を楽しんだ。
8229	inanimate 	生命のない、無生物の	A table is an inanimate object.	テーブルは生命のない物である。
8230	incorrigible 	救いようのない、矯正不能の	His bad habits are incorrigible.	彼の悪癖は救いようがない。
8231	vapid 	味気ない、つまらない、生気のない	Her conversation was vapid and boring.	彼女の会話は味気なくてつまらなかった。
8232	xenial 	客好きの、もてなしのよい	They are xenial and always welcome guests.	彼らは客好きで、いつも客を歓迎する。
8233	replaceable 	取り換え可能な、代替可能な	This part is replaceable.	この部品は取り換え可能です。
8234	spark 	火花、きっかけ、ひらめき	Their conversation sparked a friendship.	彼らの会話が友情のきっかけになった。
8235	brightly 	明るく、鮮やかに	The sun shone brightly in the sky.	太陽が空を明るく照らした。
8236	look up to 	～を尊敬する、～に憧れる	He looks up to his father.	彼は父親を尊敬している。
8237	chimney 	煙突	Smoke is coming out of the chimney.	煙突から煙が出ている。
8238	quarrel 	口論する、仲たがいする	They quarreled over a trivial matter.	彼らは些細なことで口論した。
8239	intent 	意図、目的	The intent of his words was not clear.	彼の言葉の意図は明らかではなかった。
8240	lately 	最近、近頃	Lately, he has been very busy.	最近、彼は忙しい。
8241	invade 	侵入する、侵略する	The enemy invaded the country.	敵が国に侵入してきた。
8242	tender 	優しい、柔らかい	She is tender with her children.	彼女は子供たちに優しい。
8243	spontaneous 	自然発生的な、自発的な	All their plans were spontaneous.	彼らの計画はすべて自発的だった。
8244	in contrast 	対照的に、それに対して	He is very introverted, in contrast, she is very outgoing.	彼はとても内向的で、対照的に彼女はとても社交的だ。
8245	fame 	名声、評判	He desired to gain fame.	彼は名声を得ることを望んでいた。
8246	modest 	控えめな、質素な	Despite his success, he remained modest.	彼は成功したにもかかわらず、謙虚な態度を保っていた。
8247	thumb 	親指	He gave a thumbs-up signal.	彼は親指を立てて合図をした。
8248	enrich	豊かにする、富ませる	This experience has enriched my life.	この経験は私の人生を豊かにした。
8249	snore	いびきをかく	He snored very loudly.	彼はとてもうるさくいびきをかいた。
8250	den	巣穴、隠れ家	The bear spends the winter in its den.	クマは冬の間、巣穴で過ごします。
8251	tram	路面電車	We traveled around the city by tram.	私たちは路面電車で街を移動しました。
8252	profess	公言する、自称する	He professed his innocence.	彼は自分の無罪を公言した。
8253	thaw	解ける、雪解け	The snow began to thaw in the spring.	春になると雪が解け始めた。
8254	coastal	沿岸の、海岸の	We drove along the coastal area.	私たちは沿岸地域をドライブしました。
8255	seam	縫い目、継ぎ目	The shirt had a loose seam.	そのシャツには縫い目がほつれていた。
8256	implore	懇願する、嘆願する	She implored him to help her.	彼女は彼に助けてくれるよう懇願した。
8257	pathetic	哀れな、情けない	The dog looked pathetic.	その犬は哀れな姿に見えました。
8258	contend	争う、主張する	They contended for the championship.	彼らはその優勝を争った。
8259	exile	追放、亡命	He was sent into exile.	彼は国を追放された。
8260	perplex	当惑させる、困らせる	The problem perplexed me.	その問題は私を当惑させた。
8261	sly	ずる賢い、狡猾な	He had a sly smile.	彼はずる賢い笑みを浮かべた。
8262	census	国勢調査、人口調査	The government conducted a census.	政府は国勢調査を実施した。
8263	stapler	ホッチキス	Please fasten the documents with a stapler.	書類をホッチキスで留めてください。
8264	pave	舗装する	They paved the road.	彼らは道路を舗装した。
8265	shabby	みすぼらしい、粗末な	The house was shabby.	その家はみすぼらしかった。
8266	revelation	啓示、暴露	It was a shocking revelation.	それは驚くべき暴露だった。
8267	thereafter	その後、それ以降	What happened to the incident thereafter?	事件はその後、どうなったのか。
8268	punctuality	時間厳守	Punctuality is important.	時間厳守は重要です。
8269	editorial	社説、論説	I read the newspaper's editorial.	新聞の社説を読んだ。
